Instance 1 | Big:
Plants:
1.- Max distribution: 1747
-Send cost:
      -Center 1: 317
      -Center 2: 887
      -Center 3: 874
      -Center 4: 710
      -Center 5: 709
      -Center 6: 733
      -Center 7: 598
      -Center 8: 157
      -Center 9: 406
      -Center 10: 515
      -Center 11: 996
      -Center 12: 672
      -Center 13: 818
      -Center 14: 714
      -Center 15: 996
      -Center 16: 874
      -Center 17: 907
      -Center 18: 802
      -Center 19: 495
      -Center 20: 152
      -Center 21: 666
      -Center 22: 709
      -Center 23: 723
      -Center 24: 894
      -Center 25: 605
      -Center 26: 984
      -Center 27: 646
      -Center 28: 407
      -Center 29: 325
      -Center 30: 598
      -Center 31: 923
      -Center 32: 331
      -Center 33: 740
      -Center 34: 678
2.- Max distribution: 1788
-Send cost:
      -Center 1: 141
      -Center 2: 764
      -Center 3: 725
      -Center 4: 559
      -Center 5: 245
      -Center 6: 774
      -Center 7: 828
      -Center 8: 617
      -Center 9: 308
      -Center 10: 795
      -Center 11: 640
      -Center 12: 423
      -Center 13: 794
      -Center 14: 910
      -Center 15: 100
      -Center 16: 108
      -Center 17: 371
      -Center 18: 641
      -Center 19: 487
      -Center 20: 983
      -Center 21: 433
      -Center 22: 144
      -Center 23: 194
      -Center 24: 335
      -Center 25: 884
      -Center 26: 709
      -Center 27: 579
      -Center 28: 443
      -Center 29: 571
      -Center 30: 547
      -Center 31: 698
      -Center 32: 703
      -Center 33: 756
      -Center 34: 186
3.- Max distribution: 1008
-Send cost:
      -Center 1: 404
      -Center 2: 618
      -Center 3: 886
      -Center 4: 718
      -Center 5: 767
      -Center 6: 731
      -Center 7: 682
      -Center 8: 325
      -Center 9: 231
      -Center 10: 197
      -Center 11: 457
      -Center 12: 700
      -Center 13: 805
      -Center 14: 355
      -Center 15: 677
      -Center 16: 749
      -Center 17: 773
      -Center 18: 488
      -Center 19: 482
      -Center 20: 509
      -Center 21: 803
      -Center 22: 403
      -Center 23: 239
      -Center 24: 632
      -Center 25: 720
      -Center 26: 395
      -Center 27: 340
      -Center 28: 913
      -Center 29: 227
      -Center 30: 725
      -Center 31: 381
      -Center 32: 823
      -Center 33: 865
      -Center 34: 485
4.- Max distribution: 1481
-Send cost:
      -Center 1: 339
      -Center 2: 737
      -Center 3: 343
      -Center 4: 836
      -Center 5: 742
      -Center 6: 568
      -Center 7: 782
      -Center 8: 914
      -Center 9: 607
      -Center 10: 223
      -Center 11: 416
      -Center 12: 717
      -Center 13: 144
      -Center 14: 393
      -Center 15: 249
      -Center 16: 389
      -Center 17: 481
      -Center 18: 288
      -Center 19: 350
      -Center 20: 725
      -Center 21: 912
      -Center 22: 263
      -Center 23: 781
      -Center 24: 754
      -Center 25: 503
      -Center 26: 994
      -Center 27: 904
      -Center 28: 883
      -Center 29: 756
      -Center 30: 913
      -Center 31: 721
      -Center 32: 229
      -Center 33: 316
      -Center 34: 324
5.- Max distribution: 1813
-Send cost:
      -Center 1: 900
      -Center 2: 674
      -Center 3: 248
      -Center 4: 144
      -Center 5: 984
      -Center 6: 423
      -Center 7: 348
      -Center 8: 393
      -Center 9: 884
      -Center 10: 702
      -Center 11: 750
      -Center 12: 949
      -Center 13: 953
      -Center 14: 430
      -Center 15: 767
      -Center 16: 831
      -Center 17: 722
      -Center 18: 709
      -Center 19: 100
      -Center 20: 802
      -Center 21: 169
      -Center 22: 315
      -Center 23: 956
      -Center 24: 284
      -Center 25: 503
      -Center 26: 247
      -Center 27: 636
      -Center 28: 902
      -Center 29: 932
      -Center 30: 493
      -Center 31: 611
      -Center 32: 917
      -Center 33: 390
      -Center 34: 453
6.- Max distribution: 1760
-Send cost:
      -Center 1: 100
      -Center 2: 921
      -Center 3: 673
      -Center 4: 493
      -Center 5: 166
      -Center 6: 506
      -Center 7: 152
      -Center 8: 262
      -Center 9: 919
      -Center 10: 855
      -Center 11: 277
      -Center 12: 382
      -Center 13: 666
      -Center 14: 277
      -Center 15: 257
      -Center 16: 500
      -Center 17: 126
      -Center 18: 725
      -Center 19: 567
      -Center 20: 637
      -Center 21: 117
      -Center 22: 288
      -Center 23: 791
      -Center 24: 120
      -Center 25: 398
      -Center 26: 585
      -Center 27: 102
      -Center 28: 726
      -Center 29: 265
      -Center 30: 455
      -Center 31: 996
      -Center 32: 594
      -Center 33: 666
      -Center 34: 908
7.- Max distribution: 1708
-Send cost:
      -Center 1: 581
      -Center 2: 353
      -Center 3: 342
      -Center 4: 209
      -Center 5: 789
      -Center 6: 816
      -Center 7: 833
      -Center 8: 854
      -Center 9: 945
      -Center 10: 194
      -Center 11: 744
      -Center 12: 218
      -Center 13: 390
      -Center 14: 160
      -Center 15: 509
      -Center 16: 552
      -Center 17: 329
      -Center 18: 934
      -Center 19: 421
      -Center 20: 732
      -Center 21: 625
      -Center 22: 238
      -Center 23: 557
      -Center 24: 472
      -Center 25: 886
      -Center 26: 842
      -Center 27: 705
      -Center 28: 165
      -Center 29: 146
      -Center 30: 261
      -Center 31: 476
      -Center 32: 587
      -Center 33: 904
      -Center 34: 636
8.- Max distribution: 1759
-Send cost:
      -Center 1: 107
      -Center 2: 749
      -Center 3: 440
      -Center 4: 942
      -Center 5: 545
      -Center 6: 910
      -Center 7: 646
      -Center 8: 230
      -Center 9: 714
      -Center 10: 552
      -Center 11: 428
      -Center 12: 160
      -Center 13: 879
      -Center 14: 661
      -Center 15: 207
      -Center 16: 231
      -Center 17: 815
      -Center 18: 359
      -Center 19: 299
      -Center 20: 766
      -Center 21: 117
      -Center 22: 418
      -Center 23: 164
      -Center 24: 469
      -Center 25: 890
      -Center 26: 871
      -Center 27: 568
      -Center 28: 719
      -Center 29: 914
      -Center 30: 208
      -Center 31: 210
      -Center 32: 348
      -Center 33: 265
      -Center 34: 509
9.- Max distribution: 1495
-Send cost:
      -Center 1: 256
      -Center 2: 943
      -Center 3: 266
      -Center 4: 620
      -Center 5: 188
      -Center 6: 824
      -Center 7: 793
      -Center 8: 830
      -Center 9: 579
      -Center 10: 612
      -Center 11: 147
      -Center 12: 628
      -Center 13: 353
      -Center 14: 626
      -Center 15: 102
      -Center 16: 154
      -Center 17: 224
      -Center 18: 947
      -Center 19: 129
      -Center 20: 220
      -Center 21: 199
      -Center 22: 213
      -Center 23: 134
      -Center 24: 795
      -Center 25: 156
      -Center 26: 294
      -Center 27: 962
      -Center 28: 152
      -Center 29: 553
      -Center 30: 229
      -Center 31: 379
      -Center 32: 102
      -Center 33: 271
      -Center 34: 962
10.- Max distribution: 1523
-Send cost:
      -Center 1: 932
      -Center 2: 110
      -Center 3: 786
      -Center 4: 898
      -Center 5: 646
      -Center 6: 845
      -Center 7: 421
      -Center 8: 505
      -Center 9: 505
      -Center 10: 301
      -Center 11: 571
      -Center 12: 899
      -Center 13: 818
      -Center 14: 562
      -Center 15: 793
      -Center 16: 935
      -Center 17: 202
      -Center 18: 325
      -Center 19: 640
      -Center 20: 118
      -Center 21: 314
      -Center 22: 199
      -Center 23: 754
      -Center 24: 122
      -Center 25: 585
      -Center 26: 319
      -Center 27: 110
      -Center 28: 773
      -Center 29: 102
      -Center 30: 139
      -Center 31: 748
      -Center 32: 271
      -Center 33: 838
      -Center 34: 890
11.- Max distribution: 1788
-Send cost:
      -Center 1: 769
      -Center 2: 908
      -Center 3: 611
      -Center 4: 510
      -Center 5: 527
      -Center 6: 655
      -Center 7: 416
      -Center 8: 448
      -Center 9: 857
      -Center 10: 474
      -Center 11: 277
      -Center 12: 353
      -Center 13: 934
      -Center 14: 298
      -Center 15: 230
      -Center 16: 991
